## ------------------------------------------------------------------------------------------------
## T2K Run 1-4 Numu-Disappearance Analysis -2dlnL Data ##
## Contents of this file include: 
##  (1) Profiled -2\Delta\lnL vs. \sin^{2}(\theta_{23}) Normal Hierarchy
##  (2) Profiled -2\Delta\lnL vs. \Delta{m}^{2}_{32} Normal Hierarchy
##  (3) Profiled -2\Delta\lnL vs. \sin^{2}(\theta_{23}) Inverted Hierarchy
##  (4) Profiled -2\Delta\lnL vs. \Delta{m}^{2}_{13} Inverted Hierarchy
##  (5) -2\Delta\lnL vs. (\sin^{2}(\theta_{23}), \Delta{m}^{2}_{32}) Normal Hierarchy
##  (6) -2\Delta\lnL vs. (\sin^{2}(\theta_{23}), \Delta{m}^{2}_{13}) Inverted Hierarchy
##  (7) 68% CL Feldman-Cousins Contours, Normal Hierarchy
##  (8) 90% CL Feldman-Cousins Contours, Normal Hierarchy
##  (9) 68% CL Feldman-Cousins Contours, Inverted Hierarchy
## (10) 90% CL Feldman-Cousins Contours, Inverted Hierarchy
## ------------------------------------------------------------------------------------------------
## (1) Profiled -2\Delta\lnL vs. \sin^{2}(\theta_{23}) Normal ##
## ------------------------------------------------------------------------------------------------
\sin^{2}(\theta_{23})	-2\Delta\lnL
0.00273 	3.7757512163
0.002735 	3.95162547621
0.00274 	4.13119918214
0.002745 	4.31484416916
0.00275 	4.50235673957
0.002755 	4.69372251193
0.00276 	4.88892920652
0.002765 	5.08819243739
0.00277 	5.29079561452
0.002775 	5.49768862709
0.00278 	5.7078474767
0.002785 	5.9220314494
0.00279 	6.1402343691
0.002795 	6.36192253857
0.0028 	6.58704506107
0.002805 	6.81643518771
0.00281 	7.04925377009
0.002815 	7.28574779588
0.00282 	7.52592450453
0.002825 	7.76943207026
0.00283 	8.01720423641
0.002835 	8.26826743724
0.00284 	8.52300583855
0.002845 	8.78131467312
0.00285 	9.04317650739
0.002855 	9.30834086141
0.00286 	9.57737194149
0.002865 	9.85030174901
0.00287 	10.126382374
0.002875 	10.4057178205
0.00288 	10.6888718798
0.002885 	10.9757021625
0.00289 	11.2660425119
0.002895 	11.5596685758
0.0029 	11.8563783909
0.002905 	12.1572999769
0.00291 	12.4608924591
0.002915 	12.7686834284
0.00292 	13.0795080385
0.002925 	13.3937376725
0.00293 	13.7109687135
0.002935 	14.0323648467
0.00294 	14.3567389911
0.002945 	14.6840759018
0.00295 	15.0155601181
0.002955 	15.3499665325
0.00296 	15.6877041654
0.002965 	16.028756738
0.00297 	16.3727074946
0.002975 	16.7207493224
0.00298 	17.0716662056
0.002985 	17.4258450054
0.00299 	17.7828776752
0.002995 	18.1435520928
0.003 	18.5078454177
0.003005 	18.874957465
0.00301 	19.2452477023
0.003015 	19.6187863854
0.00302 	19.9950983627
0.003025 	20.3752939484
0.00303 	20.7579593554
0.003035 	21.1444646052
0.00304 	21.5333713988
0.003045 	21.9260713825
0.00305 	22.3215689674
0.003055 	22.7197800459
0.00306 	23.1214031203
0.003065 	23.5263832959
0.00307 	23.9337906823
0.003075 	24.3445246483
0.00308 	24.7585598777
0.003085 	25.1752732504
0.00309 	25.5949639634
0.003095 	26.0173598268
0.0031 	26.4432141377
0.003105 	26.8717072206
0.00311 	27.3029188519
0.003115 	27.7372391371
0.00312 	28.1744301181
0.003125 	28.6144735995
0.00313 	29.0575182463
0.003135 	29.503228956
0.00314 	29.9516953975
0.003145 	30.4029687135
0.00315 	30.857004709
0.003155 	31.3136102373
0.00316 	31.7733267428
0.003165 	32.2354948735
0.00317 	32.7002711642
0.003175 	33.1677479266
0.00318 	33.6380550743
0.003185 	34.1107350639
0.00319 	34.5859848644
0.003195 	35.0640285604
0.0032 	35.5444713623
0.003205 	36.0275441081
0.00321 	36.5131319573
0.003215 	37.0012818497
0.00322 	37.4918238603
0.003225 	37.9847751997
0.00323 	38.480155161
0.003235 	38.9779378174
0.00324 	39.478069346
0.003245 	39.9805886939
0.00325 	40.4853764779
0.003255 	40.9924570855
0.00326 	41.5018195261
0.003265 	42.0133375533
0.00327 	42.5263502722
0.003275 	43.0421650759
0.00328 	43.5597378909
0.003285 	44.0796450387
0.00329 	44.6017810206
0.003295 	45.1259489413
0.0033 	45.6522169708
0.003305 	46.1805626961
0.00331 	46.7109707741
0.003315 	47.2433619618
0.00332 	47.777778766
0.003325 	48.3140841186
0.00333 	48.85236719
0.003335 	49.3925732827
0.00334 	49.9344662019
0.003345 	50.4786155748
0.00335 	51.0243590319
0.003355 	51.5719412719
0.00336 	52.1213300246
0.003365 	52.6724565364
0.00337 	53.2252464429
0.003375 	53.7798168075
0.00338 	54.3356475359
0.003385 	54.8937839116
0.00339 	55.4535802478
0.003395 	56.0147291701
0.0034 	56.5768227399
0.003405 	57.1417789852
0.00341 	57.7076136201
0.003415 	58.274937142
0.00342 	58.843821092
0.003425 	59.4141429129
0.00343 	59.9853781453
0.003435 	60.5591158477
0.00344 	61.1331526231
0.003445 	61.7092786752
0.00345 	62.2868862138
0.003455 	62.8642552579
0.00346 	63.4453908236
0.003465 	64.0267705345
0.00347 	64.6075639011
0.003475 	65.191181434
0.00348 	65.7760068668
0.003485 	66.3620079161
0.00349 	66.9491829568
0.003495 	67.5375000063
0.0035 	68.1270709351
0.003505 	68.7179526116
0.00351 	69.309062481
0.003515 	69.9014298556
0.00352 	70.4946870787
0.003525 	71.0889465742
0.00353 	71.6841460403
0.003535 	72.2802973902
0.00354 	72.877365799
0.003545 	73.4753313387
0.00355 	74.0741945157
0.003555 	74.6738879198
0.00356 	75.2744252307
0.003565 	75.8758443274
0.00357 	76.4779235527
0.003575 	77.0808748815
0.00358 	77.6847020785
0.003585 	78.2895621663
0.00359 	78.89532392
0.003595 	79.502053664
0.0036 	80.1097229788
0.003605 	80.7183239598
0.00361 	81.3278725764
0.003615 	81.9382399514
0.00362 	82.5495332088
0.003625 	83.8480826161
0.00363 	84.4557745802
0.003635 	85.0641611171
0.00364 	85.6732411156
0.003645 	86.2829720912
0.00365 	86.893388408
0.003655 	87.5044476175
0.00366 	88.1160902109
0.003665 	88.7283629838
0.00367 	89.3412490721
0.003675 	89.9546828531
0.00368 	90.5686495145
0.003685 	91.1831756446
0.00369 	91.7982531412
0.003695 	92.4137907952
0.0037 	93.0298505717
0.003705 	93.6463664827
0.00371 	94.2633263352
0.003715 	94.8807285013
0.00372 	95.498560597
0.003725 	96.1167971511
0.00373 	96.7354338348
0.003735 	97.354424483
0.00374 	97.9737682541
0.003745 	98.5934224872
0.00375 	99.2134191752
0.003755 	99.833744156
0.00376 	100.454329488
0.003765 	101.075157885
0.00377 	101.696255361
0.003775 	102.3175797
0.00378 	102.939118485
0.003785 	103.560853892
0.00379 	104.18277131
0.003795 	104.80485147
0.0038 	105.427069094
0.003805 	106.04941104
0.00381 	106.671858746
0.003815 	107.294404871
0.00382 	107.917003455
0.003825 	108.539662663
0.00383 	109.162352262
0.003835 	109.785067156
0.00384 	110.407773124
0.003845 	111.030452043
0.00385 	111.653097313
0.003855 	112.275684439
0.00386 	112.89819465
0.003865 	113.52060861
0.00387 	114.142907181
0.003875 	114.76508139
0.00388 	115.387090896
0.003885 	116.008935506
0.00389 	116.630590166
0.003895 	117.252035657
0.0039 	117.873253297
0.003905 	118.494222908
0.00391 	119.114926322
0.003915 	119.735348474
0.00392 	120.355462254
0.003925 	120.975249618
0.00393 	121.594686531
0.003935 	122.213765782
0.00394 	122.832460572
0.003945 	123.450751595
0.00395 	124.068618931
0.003955 	124.686042245
0.00396 	125.303002239
0.003965 	125.919477775
0.00397 	126.535448714
0.003975 	127.150894321
0.00398 	127.765795552
0.003985 	128.380140611
0.00399 	128.993881306
0.003995 	129.607016972
0.004 	130.219522886
## ------------------------------------------------------------------------------------------------
## (3) Profiled -2\Delta\lnL vs. \sin^{2}(\theta_{23}) Inverted ##
## ------------------------------------------------------------------------------------------------
\sin^{2}(\theta_{23})	-2\Delta\lnL
0.3 	33.9333616892
0.301 	33.4982921681
0.302 	33.0664462789
0.303 	32.6375656732
0.304 	32.2116571524
0.305 	31.7888731003
0.306 	31.3689080181
0.307 	30.9518292045
0.308 	30.5378732538
0.309 	30.1269206095
0.31 	29.7189769543
0.311 	29.314047813
0.312 	28.9121385018
0.313 	28.5133069875
0.314 	28.1174355114
0.315 	27.7246296708
0.316 	27.3348499251
0.317 	26.9480622176
